Код ;  Номер ; Описание ; Цена
57373 ; F6V24AE ; цветной №652 для DJ Ink Advantage 1115 / 2135 / 3635 / 3835 (200 стр@5%) ; 393 ; 494,34 ; 
10514 ; 51650C ; цветной №50 к DesignJet 250 (42 ml) Cyan ; 111 ; 149,57 ; 
10515 ; 51650M ; цветной №50 к DesignJet 250 (42 ml) Magenta ; 111 ; 149,56 ; 
10516 ; 51650Y ; цветной №50 к DesignJet 250 (42 ml) Yellow ; 111 ; 149,70 ; 
196 ; C1816A ; Фотокартридж №16 к DeskJet 690C / 695C / 610C / 640C / 656 (23 ml) ; 111 ; 148,54 ; 
2408 ; C6615DE ; черный №15 к DJ 840C / 845 / 940 / 920 / 3820   PSC-500 / 750    (25 ml) ; 1243 ; 1563,13 ; 
48487 ; C6625AE ; цветной №17 к DJ 840C / 845 (15 ml) ; 1269 ; 1597,34 ; 
8001 ; C6656AE ; черный №56 к HP Deskjet 450c / 51xx / 56xx / 5550series / 5850 / 96xx,  Officejet 4105 / 4110 / 4215 / 4219 / 4255 / 5505 / 5510 / 5515 / 5550series / 6110,  PSC 1110 / 1210 / 1215 / 1315 / 1340 / 1350 / 1355 / 21xx / 22xx / 2410 / 2510, PhotoSmart 7150 / ; 863 ; 1084,20 ; 
6646 ; C6657A ; цветной №57 к HP Deskjet 450c / 51xx / 56xx / 5550series / 5850 / 96xx,  Officejet 4105 / 4110 / 4215 / 4219 / 4255 / 5505 / 5510 / 5515 / 5550series / 6110,  PSC 1110 / 1210 / 1215 / 1315 / 1340 / 1350 / 1355 / 21xx / 22xx / 2410 / 2510, PhotoSmart 100 / ; 1421 ; 1784,87 ; 
8072 ; C8728A ; цветной №28 к HP DeskJet 3320 / 3325 / 3420 / 3425 / 3520 / 3535 / 3550 / 3645 / 3650 / 3745 / 3845,  Officejet 4105 / 4110 / 4215 / 4219 / 4255,  PSC 1110 / 1210 / 1215 / 1315  (8ml) ; 822 ; 1034,18 ; 
17873 ; C9360AE ; Grey фото №102 (Vivera) к HP PhotoSmart 8753 (LightGrey+Grey+Black) (23ml) ; 286 ; 366,24 ; 
35098 ; CC640HE ; черный №121 к HP DeskJet D2563 / D5563 / F4283, PhotoSmart C4683 (~200стр)  ; 690 ; 739,45 ; 
35097 ; CC643HE ; цветной №121 к HP DeskJet D2563 / D5563 /F4283, PhotoSmart C4683 (~165стр)  ; 721 ; 904,63 ; 
38189 ; CC644HE ; цветной №121XL к HP DeskJet D2563 / D5563 / F4283, PhotoSmart C4683 (~440стр)  ; 1269 ; 1598,02 ; 
43104 ; CH561HE ; черный №122 к HP DeskJet D2050/3050 (~120стр.) ; 421 ; 442,25 ; 
43107 ; CH562HE ; цветной №122 к HP DeskJet D2050/3050 (~100стр.)  ; 487 ; 510,82 ; 
43271 ; CH563HE ; черный №122XL к HP DeskJet D2050/1050/3050(~480стр.) ; 1167 ; 1281,32 ; 
43270 ; CH564HE ; цветной №122XL к HP DeskJet D2050/1050/3050(~330стр.) ; 1177 ; 1281,32 ; 
58435 ; F6V17AE ; черный №123 к HP DeskJet 2130/2620/2630/3639 Black (~120стр.) ; 381 ; 446,37 ; 
58434 ; F6V16AE ; цветной №123 к HP DeskJet 2130/2620/2630/3639 Black (~100стр.) ; 436 ; 457,31 ; 
58432 ; F6V18AE ; цветной №123XL к HP DeskJet 2130/2620/2630/3639 Black (~330стр.) ; 974 ; 1225,28 ; 
27107 ; CB337HE ; Цветной №141 Vivera 3.5ml для offficeJet 5783 / PhotoSmart C4283 / C5283 / D5363 (~170стр)  ; 842 ; 1058,84 ; 
49404 ; CZ102AE ; Цветной №650 к HP DeskJet 2515(~200стр.) ; 345 ; 364,96 ; 
49403 ; CZ101AE ; Черный №650 к HP DeskJet 2515(~360стр.) ; 401 ; 420,62 ; 
49405 ; CZ109AE ; Черный №655 к HP DeskJet 4615/4625/3525/5525(~550стр.) Black ; 370 ; 405,65 ; 
49406 ; CZ110AE ; Цветной №655 к HP DeskJet 4615 / 4625 /3525 /5525 (~600стр.) Cyan ; 370 ; 405,65 ; 
49407 ; CZ111AE ; Цветной №655 к HP DeskJet 4615 / 4625 /3525 /5525 (~600стр.) Magenta ; 370 ; 405,65 ; 
49408 ; CZ112AE ; Цветной №655 к HP DeskJet 4615 / 4625 /3525 /5525 (~600стр.) Yellow ; 370 ; 405,65 ; 
34546 ; CC653AE ; Черный №901 к HP OfficeJet J4580 (~200стр) пигмент ; 452 ; 568,12 ; 
63106 ; 3YL80AE ; Черный №912 к HP OfficeJet 8014/8015/8022/8023/8024/8025 Black (~300стр)  ; 487 ; 511,92 ; 
63107 ; 3YL77AE ; Цветной №912 к HP OfficeJet 8014/8015/8022/8023/8024/8025 Cyan (~315стр)  ; 315 ; 330,39 ; 
63108 ; 3YL78AE ; Цветной №912 к HP OfficeJet 8014/8015/8022/8023/8024/8025 Magenta (~315стр)  ; 315 ; 330,39 ; 
63109 ; 3YL79AE ; Цветной №912 к HP OfficeJet 8014/8015/8022/8023/8024/8025 Yellow (~315стр)  ; 315 ; 330,39 ; 
63110 ; 3YL84AE ; Черный №912XL к HP OfficeJet 8014/8015/8022/8023/8024/8025 Black (~825стр)  ; 1147 ; 1203,03 ; 
63111 ; 3YL81AE ; Цветной №912XL к HP OfficeJet 8014/8015/8022/8023/8024/8025 Cyan (~825стр)  ; 563 ; 590,46 ; 
63112 ; 3YL82AE ; Цветной №912XL к HP OfficeJet 8014/8015/8022/8023/8024/8025 Magenta (~825стр)  ; 563 ; 590,46 ; 
63113 ; 3YL83AE ; Цветной №912XL к HP OfficeJet 8014/8015/8022/8023/8024/8025 Yellow (~825стр)  ; 563 ; 590,46 ; 
63114 ; 3YP34AE ; Набор №912XL к HP OfficeJet 8014/8015/8022/8023/8024/8025 (C/M/Y/K) (~825стр)  ; 2466 ; 2586,78 ; 
50510 ; CN053AE ; Черный  №932XL к HP OfficeJet 6700  повышенной емкости Black (~1000стр)  ; 1117 ; 1171,75 ; 
